# ----------------------------------------
# 电子商务购买: 商品名称
# 账号：linkdolls
# 媒体资源：linkdolls-new - GA4
# ----------------------------------------
# 
# 所有用户
# 开始日期：20260622
# 结束日期：20260628
商品名称,查看过的商品数,加入购物车的商品数,已购买的商品数,商品收入,跳出率,活跃用户,结账的商品数
F2007- 157cm(5.1ft)-28.6kg B Cup Asian Shemale Sex Doll with Slim Body Trans Woman Doll丨WM Doll,9,0,0,0,0,9,0
"P91-8.51LB BBW Futa Shemale Sex Doll Torso with Muscular Abs and 5.91"" Insertable Penis | MRL",9,0,0,0,0,5,0
"T531(12.1lb/53cm) Shemale Fuck Doll Torso with 6.7"" Built-in Dildo - Trans Woman Femboy Toy | JLY",9,1,0,0,0,7,1
"F4400-170cm(5.6ft)-41kg H Cup Shemale Trans Tpe Sex Doll with 7.5"" Detachable Dildo for Lesbian丨Wm D",8,0,0,0,0,6,0
F9302-150cm/4ft9-41kg B Cup ROS Silicone Head Shemale Fuck Doll｜Doll Castle,8,0,0,0,0,6,0
F5573-150cm/5ft-27.5kg Petite Anime Futa Shemale Silicone Sex Doll with Customizable Detachable Dild,7,0,0,0,0,6,0
F9188-178cm/5ft10-67.5kg I Cup Silicone Trans Futanari Sex Doll with Oral and Anal Features｜Doll Cas,7,0,0,0,0,6,0
T232(19.8lb丨21.6'') 8inch Dildo Ladyboy Big Breast  Shemale Torso Sex Doll Huge Dildo,7,0,0,0,0,7,0
"T444-37.48LB Realistic Silicone Shemale Sex Doll Torso with 8.3"" Huge Detachable Dildo | LoveNestle ",7,0,0,0,0,6,0
"F2421k-168cm M Cup Muscle Futan Sex Doll - Realistic Silicone Shemale with 7.1"" Large Dildo【IN Stock",6,0,0,0,0,6,0
F5710-158cm/5ft2-36kg G Cup Silicone Realistic Life Size Shemale Sex Doll Futanari Sex Doll with Fix,6,0,0,0,0,6,0
F8000-150cm/5ft-27.5kg Silicone Anime Hentai Futa Sex Doll with Customizable Detachable Dildo | Elsa,6,0,0,0,0,4,0
F5709-158cm/5ft2-36kg G Cup Silicone Shemale Sex Doll with G-Cup & 15cm Fixed Penis｜Doll Castle,5,0,0,0,0,5,0
F9189-178cm/5ft10-67.5kg I Cup ROS Silicone Life Size Trans Futa Sex Doll with Fixed 9.4in Dildo｜Dol,5,0,0,0,0,5,0
"F2422-168cm M Cup Muscular Futa Shemale Sex Doll - SSBBW Beauty with Fixed 7.1"" Dildo & Perfect Curv",4,2,0,0,0,4,0
F4283-163cm(5ft3)-34kg C Cup Asian Tpe Real Femboy Trans Fuck Sex Doll｜WM Doll,4,0,0,0,0,4,0
