# ----------------------------------------
# 电子商务购买: 商品名称
# 账号：linkdolls
# 媒体资源：linkdolls-new - GA4
# ----------------------------------------
# 
# 所有用户
# 开始日期：20260629
# 结束日期：20260705
商品名称,查看过的商品数,加入购物车的商品数,已购买的商品数,商品收入,跳出率,活跃用户,结账的商品数
F1447-153cm(5ft)-34kg H Cup Petite Fantasy Anime TPE Sex Doll 100% Genuine【IN Stock USA】 |Aibei Doll,3,0,0,0,0,3,0
F2457-164cm(5.4ft)-39kg G Cup Life-Size sex with sexual doll Silicone Head Sex Doll【IN STOCK US/EU】｜,3,0,0,0,0,3,0
F3477-163cm(5f3)-52kg  E Cup  European Cheap TPE Sex Doll【IN STOCK USA】 | Aibei Doll,2,0,0,0,0,2,0
T345 - 57.3 lbs 58# Black-STPE Big Boobs BBW Sex Doll Torso [IN Stock EU] | Climax Doll Classic,2,0,0,0,0,2,0
T908K - 94.8 lbs Ebony TPE SSBBW Torso chubby sex doll | Large Breasts for Realistic Play | Climax D,2,0,0,0,0,1,0
B35-5.9lb/Full Bust: 23.2inch-Cinnamon Silicone Titty Fucking Mammary Intercourse Sex Toy Titjob Boo,1,0,0,0,0,1,0
"B43 – 39.7 lbs / 18kg Silicone Big Boobs Sex Doll Torso, Gel Breasts & Realistic Vagina for Men",1,0,0,0,0,1,0
B71-39.7lbs Super Soft Breast And Vaginal Silicone Huge Tits Sex Torso Mia[IN Stock]  | YELOLY,1,0,0,0,0,1,0
F1444-163cm(5f3)-52kg  E Cup  Wheat Skin Realistic Soft TPE BBW Full Size Sex Dolls 【IN Stock USA/EU,1,0,0,0,1,1,0
F2233-150cm/4ft9 A Cup Small Flat Chested Sex Doll TPE Best Affordable [IN STOCK USA] |SY Doll,1,0,0,0,0,1,0
F2456-164cm(5.4ft)-39kg G Cup Cecily Life-Size Silicone Head Sex Doll【IN STOCK US/EU】｜Sigafun Doll,1,0,0,0,0,1,0
F2466-163cm(5.3ft)-40kg C Cup Ada Natural Realistic Silicone Head Sex Doll【IN STOCK US/EU】｜Sigafun D,1,0,0,0,0,1,0
F2468-163cm(5.3ft)-40kg C Cup Realistic Silicone Head Sex Doll【IN STOCK US/EU】｜Sigafun Doll,1,0,0,0,0,1,0
F3000-157cm(5ft1)-32kg D Cup Medium Breast TPE Affordable Japanese cheap Sex Doll 100% Genuine【IN St,1,0,0,0,0,1,0
F4918-150cm(4ft9)-26.2kg B Cup Small Breast TPE Cheap Sex Doll【IN STOCK USA】 | Aibei Doll,1,0,0,0,0,1,0
F4924-150cm(4ft9)-26.2kg B Cup Small Breasts TPE Sex Doll | Aibei Doll,1,0,0,0,0,1,0
F8615—176cm/5.77ft-90.4lbs E Cup Wheat Skin Silicone Full Sex Doll Sofia | TOP-CYDOLL,1,0,0,0,1,1,0
F9393- 168cm(5.6ft) 39kg B Cup Silicone Most Realistic Sex Doll 丨ZELEX Doll K Series,1,0,0,0,1,1,0
L417(41.9lb/41.7‘’) Crurophilia Silicone Sex Doll Legs and Feet Combo for Foot Fetish – Realistic Sk,1,0,0,0,0,1,0
T276-36.38lbs/80cm Lightweight Life-Size Sex Doll Torso | Climax Doll,1,0,0,0,0,1,0
T297-34.6lbs/100cm Lightweight Life-Size Flat Chested Sex Doll Torso with or without Head Options  |,1,0,0,0,0,1,0
T450-65.92LB Vanessa BBW Sex Dolls Silicone Real Life Sex Dolls With Big Boobs | LoveNestle Series,1,0,0,0,0,1,0
T591-(24lb/60cm) Luxury Silicone Sex Doll Torso Lifelike Simulated Skin Textures| Gel Breasts,1,0,0,0,0,1,0
T669-38.6lbs ROS Silicone Robot Life-Size Super Realistic Sex Doll Torso With Head,1,0,0,0,0,1,0
T69(43lb）Belle Big Ass Big Booty Sexual Silicone Torso SexDoll | Sigafun Doll,1,0,0,0,0,1,0
T779-52cm/1ft8″ 49.16LB Huge Boobs Sex Doll Torso Silicone SSBBW Eliza｜YELOLY,1,0,0,0,0,1,0
T908K -Climax Classic Huge Sex Tits BBW Sex Doll Torso TPE Gel 94.8 lbs Cinnamon,1,0,0,0,0,1,0
