国家/地区,点击次数,展示,点击率,排名
美国,173,1057,16.37%,3.74
英国,20,155,12.9%,7.3
澳大利亚,16,82,19.51%,7.6
加拿大,15,109,13.76%,2.77
荷兰,8,36,22.22%,3.5
法国,4,29,13.79%,6.14
印度,4,21,19.05%,5.29
瑞士,4,17,23.53%,3.94
新西兰,4,15,26.67%,16.73
希腊,4,13,30.77%,3.92
爱尔兰,3,11,27.27%,3.27
中国香港,3,11,27.27%,3.82
斯洛伐克,3,9,33.33%,3.33
塞浦路斯,3,5,60%,1
意大利,2,31,6.45%,5.45
南非,2,22,9.09%,13.18
巴西,2,19,10.53%,5.68
墨西哥,2,17,11.76%,4.18
匈牙利,2,11,18.18%,2.09
奥地利,2,9,22.22%,4.89
塞尔维亚,2,8,25%,2.75
阿尔及利亚,2,5,40%,1
沙特阿拉伯,2,3,66.67%,1
波兰,1,35,2.86%,6.06
俄罗斯,1,19,5.26%,6.84
德国,1,19,5.26%,7.11
挪威,1,18,5.56%,3.39
土耳其,1,10,10%,5.5
西班牙,1,10,10%,6
阿根廷,1,8,12.5%,4.5
罗马尼亚,1,8,12.5%,7.88
葡萄牙,1,7,14.29%,4.43
芬兰,1,6,16.67%,3.5
日本,1,6,16.67%,4.33
捷克,1,6,16.67%,9.33
克罗地亚,1,5,20%,2.6
爱沙尼亚,1,4,25%,2.5
泰国,1,4,25%,3.25
印度尼西亚,1,4,25%,4.25
黎巴嫩,1,3,33.33%,1
洪都拉斯,1,2,50%,1
摩洛哥,1,2,50%,1
阿拉伯联合酋长国,1,2,50%,3
斯里兰卡,1,1,100%,1
菲律宾,0,17,0%,3.53
瑞典,0,11,0%,4.64
新加坡,0,10,0%,6.2
丹麦,0,7,0%,2.14
拉脱维亚,0,7,0%,2.86
越南,0,7,0%,4.86
马来西亚,0,6,0%,20.33
台湾,0,5,0%,4.6
比利时,0,4,0%,3.5
哈萨克斯坦,0,4,0%,4
波多黎各,0,3,0%,3.33
巴基斯坦,0,3,0%,11
格鲁吉亚,0,2,0%,1
格陵兰,0,2,0%,2
斯洛文尼亚,0,2,0%,2
韩国,0,2,0%,2.5
哥斯达黎加,0,2,0%,3
开曼群岛,0,2,0%,6
哥伦比亚,0,2,0%,6.5
蒙古,0,2,0%,8
以色列,0,2,0%,12
冰岛,0,1,0%,1
立陶宛,0,1,0%,1
缅甸,0,1,0%,1
苏里南,0,1,0%,1
阿尔巴尼亚,0,1,0%,2
波斯尼亚和黑塞哥维那,0,1,0%,2
关岛,0,1,0%,2
伊朗,0,1,0%,2
巴勒斯坦,0,1,0%,2
特立尼达和多巴哥,0,1,0%,2
保加利亚,0,1,0%,3
伯利兹,0,1,0%,3
吉尔吉斯斯坦,0,1,0%,3
澳门,0,1,0%,3
纳米比亚,0,1,0%,3
巴拿马,0,1,0%,3
委内瑞拉,0,1,0%,3
多米尼加共和国,0,1,0%,4
赞比亚,0,1,0%,4
埃塞俄比亚,0,1,0%,6
白俄罗斯,0,1,0%,8
突尼斯,0,1,0%,8
乌兹别克斯坦,0,1,0%,8
智利,0,1,0%,9
马其顿,0,1,0%,9
曼岛,0,1,0%,10
