# ----------------------------------------
# 电子商务购买: 商品名称
# 账号：linkdolls
# 媒体资源：linkdolls-new - GA4
# ----------------------------------------
# 
# 所有用户
# 开始日期：20260518
# 结束日期：20260524
商品名称,查看过的商品数,加入购物车的商品数,已购买的商品数,商品收入,跳出率,活跃用户,结账的商品数
V324 - Silicone Ultra-Realistic Sex Foot Toy with Veins and Wrinkles for Foot Worship Fantasy - Size,41,0,0,0,0,34,0
L583(13.2lb/27.5‘’) 70cm Realistic Sex Doll Legs with Realistic Feet & Dual Channels - Affordable Le,38,0,0,0,0,36,0
V26 - 1.54 lbs Realistic Silicone Vajankle Foot Fetish Sex Toy Right Foot with Built-in Pocket Pussy,33,0,0,0,0,29,0
V27 – 4.41 lbs Left Silicone Customizable Realistic Big Footjob Sex Toys with Vajankle - Size EU 42 ,20,0,0,0,0,18,0
V637 - Portable TPE Foot Fetish Toys For Discrete Storage In Small Apartments,19,1,0,0,0,17,0
V24 - Cheap Silicone Fleshlight Foot with Toe Detail and Soft Insert Tunnel - Size EU 34 US 5,16,0,0,0,0,14,0
V325 - Foot Worship Silicone Doll with Wrinkled Soles and Arch Curve,16,0,0,0,0,13,0
V331 - Lifelike Silicone Foot Fetish Toys Wrinkles & Veins,13,0,0,0,0,11,0
V23 - Under200 Cheap TPE Vajancle Sex Doll Feet Masturbator for Men,12,0,0,0,0,10,0
V330 - Real-Skin Silicone Foot Fetish Toys With Positionable Toes For Photography,11,0,0,0,0,7,0
V332 - Ultra-Soft Silicone Sex Doll Feet with Real Feel Texture for Foot Fetish,11,0,0,0,0,8,0
V335 - Ultra-Soft Silicone Feet — Real Feel Footjob Sex Toy with Flexible Toes,11,0,0,0,0,6,0
V321 - Silicone Best Value Foot Fetish Toy with Socks – Feet Fleshlight for Adults,9,0,0,0,0,8,0
V636 - Vajankle Foot Fetish Toys & Female Feet,9,0,0,0,0,8,0
L584(19lb/70cm) Sex Doll Legs Realistic Female Sexy Leg Sex Dolls Torso For Men Big Booty Sexdoll Hi,8,0,0,0,0,8,0
V25 - Lifelike TPE Feet Sex Toy for Trampling and Foot Domination | YATEAOLAI,8,0,0,0,0,7,0
V323 - Silicone Ultra-Soft Foot Fleshlight with Real Feel Texture,8,0,0,0,0,6,0
V334 - 1:1 Lifelike Silicone Flexible Stainless-Steel Skeleton Sex Doll Feet For High Heel Posing,7,0,0,0,0,4,0
L313-50.7lb/43‘’ Silicone Realistic Crurophilia Legs & Feet: Hyper-Real Skin Feel for Foot Fetish,6,3,0,0,0,2,1
L417(41.9lb/41.7‘’) Crurophilia Silicone Sex Doll Legs and Feet Combo for Foot Fetish – Realistic Sk,6,0,0,0,0,4,0
L582(7.7lb/23.6‘’) Sex Doll Legs Footjob Cheap Leg Torso Toys Female Big Ass Masturbator For Men,6,0,0,0,0,6,0
A512 (57.32lb) Big Ass Sex Doll Torso Doggy Style 1:1 Life-Sized BBW Sex Doll,5,0,0,0,0,3,0
V21 - Foot Fleshlight with Realistic Toes and Deep Pleasure Tunnel  for Foot Fetish Beginners,5,0,0,0,0,5,0
L468(50lb/110cm) TPE Sexy Lifesize Sex Doll Legs｜Qita Doll,4,0,0,0,0,4,0
V322 - Silicone Vajankle Foot Fetish Toy with Detailed Foot Design,4,0,0,0,0,3,0
V333 - High Elasticity TPE Sex Doll Feet for Trampling Play,4,0,0,0,0,3,0
V656 Soft Silicone Sex Doll Feet for Foot Fetish and Trampling Use,4,0,0,0,0,4,0
