"订单名称","小时","产品标题","订单标记","订购数量","毛销售额","净销售额","总销售额"
"#3440","2026-05-15 13:00:00","P377 celebrity pocket pussy sex toy for men | Tantaly","260519",3,119.97,107.98,107.98
"#3440","2026-05-15 13:00:00","P377 celebrity pocket pussy sex toy for men | Tantaly","/collections/femboys-sex-doll",3,119.97,107.98,107.98
"#3211","2026-01-22 02:00:00","H126 TPE Oral Sex Doll Head 丨WM Doll Head","260113",1,378,351.55,351.55
"#3523","2026-06-15 09:00:00","H125 Thick Big Lips TPE Oral Blowjob Sex Doll Head 丨WM Doll Head","/products/h125-sex-doll-head",1,378,378,378
"#3428","2026-05-11 06:00:00","T405-15.43lb/47cm-Light weight Realistic Curvy Sex Torso Doll","260512",1,199,199,199
"#3377","2026-04-23 20:00:00","Shipping Protection","260424",1,31.63,31.63,31.63
"#3324","2026-03-20 14:00:00","A260-Lusandy Sex Dolls with Big Asses Silicone 22lb Sexy and Gel Butt Mini Sex Dolls【IN Stock US/EU】","linkdolls.com",1,599,551.08,551.08
"#3549","2026-06-23 00:00:00","T524(16.8lb)  Charming Abs And Big Hard Cock-Boys/black Ebony male sex doll For Women | xingse","/collections/black-torso-sex-dolls",1,249,249,249
"#3542","2026-06-21 01:00:00","Shipping Protection","260623",1,5.05,5.05,5.05
"#3424","2026-05-10 07:00:00","T403-Black(9.92lb) Mini GYATT BBW Thick Realistic small sex doll","xcottonsp",1,99,99,99
"#3160","2026-01-05 04:00:00","H009 TPE Oral Sex Doll Head 丨WM Doll Head","xcottonsp",1,428,428,428
"#3546","2026-06-22 07:00:00","T501-Black(25.3lb) Big Ass BBW Ebony Sex Doll Torso Realistic, Full Breasts & Hips","260625",1,309,278.1,278.1
"#3557","2026-06-26 18:00:00","H858 Silicone Anime Sex Doll Head｜Elsa Babe Head","头架",1,898,898,898
"#3146","2026-01-01 15:00:00","T292 - 70.55 lbs Chloe ROS Life Size Silicone life size sex doll torso with Head [In Stock USA& Europe] | MAX  Series","260105",1,1299,1104.15,1104.15
"#3163","2026-01-05 11:00:00","Shipping Protection","xcottonsp",1,17.23,15.5,15.5
"#3298","2026-03-05 17:00:00","Shipping Protection","xcottonsp",1,11.05,10.27,10.27
"#3484","2026-06-01 13:00:00","Shipping Protection","xcottonsp",1,12.25,12.25,12.25
"#3197","2026-01-17 11:00:00","T26-(8.8lb)Big Boobs Cheap Sex Doll Torso｜Mini Size-Easy to carry","/collections/all",1,169,169,169
"#3473","2026-05-28 09:00:00","F2458-164cm(5.4ft)-39kg G Cup Ada Life-Size Silicone Head Sex Doll【IN STOCK US/EU】｜Sigafun Doll","260608",1,1168,1168,1168
"#3442","2026-05-15 15:00:00","A684-(41.8lb)Big Booty Sex Dolls Torso Realistic ssbbwsex","260516",1,559,503.1,503.1
"#3510","2026-06-09 19:00:00","Shipping Protection","xcottonsp",1,4.15,4.15,4.15
"#3422","2026-05-09 21:00:00","T443-20.94LB Sex Doll Big Boobs Silicone Life-Size Torso | LoveNestle Series","260512",1,499,449.11,449.11
"#3251","2026-02-08 02:00:00","Shipping Protection","linkdolls.com",1,46.93,46.93,46.93
"#3488","2026-06-03 12:00:00","A308-(13lb) Soft Silicone Realistic Big Ass Sex Toy For Men","260605",1,269,269,269
"#3265","2026-02-16 20:00:00","F1063-162cm(5.3ft) F Cup Chloe S-TPE Sex Doll [IN STOCK USA]｜Fun West Doll","/collections/flat-chest-sex-doll",1,1399,1399,1399
"#3273","2026-02-19 13:00:00","H892 Silicone Anime Sex Doll Head｜Elsa Babe Head","xcottonsp",1,699,699,699
"#3263","2026-02-15 10:00:00","T667-(20.2lbs) Luxury Super Cheap Realistic Female Silicone Torso Sex Doll For Men","/collections/in-stock-usa-1",1,459,459,459
"#3554","2026-06-25 10:00:00","T588V-16.09lb Sucking Sex Torso TPE Vibration & Auto Clean Sex Doll Torsos","/unknow",1,265,265,265
"#3434","2026-05-12 03:00:00","T660 - 9.35lbs TPR 8.46in Dildo Insert AI Sex Dolls Male Torso Toy & Masturbator【IN Stock US】 | Xinse","260512",1,149,149,149
